farm code,region code,sub region code,holding type code,LATITUDE_coded,LONGITUDE_code,HOLDER LEGAL STATUS CODE,profession code,educational level code,tenure code,soil salinity group code,soil type code,Permanent Employees,Temporary Employees,Holding Area_coded,resting areas_coded,buildings_coded,Wind bumpers_coded,Fruit tree crops_coded,Protected vegetable crops_coded,vegetable crops_coded,Fruit waste %,Plastic houses waste %,Exposed Vegetable  waste %
20953,C,5,A,23.12074,53.89925167,E,B,A,D,B,B,3,0,46.8,8.73873,0.3042,1.32912,35.25795,0,1.17,0.233518991,0,0.282291629
20954,A,9,B,24.50313833,54.61277167,E,B,B,D,A,B,1,0,27.18846,24.92685,0.65286,0.43875,1.17,0,0,0.354181033,0,0
20955,C,34,B,22.93606167,54.27807667,E,B,C,D,B,B,2,0,46.8,9.945,1.755,11.7,23.4,0,0,0.186035939,0,0
20956,C,34,B,22.93787833,54.27769333,E,B,D,D,B,B,2,0,46.8,19.305,0,8.775,18.72,0,0,0.320853137,0,0
20957,C,34,B,22.96298333,54.27037,E,B,F,D,B,B,1,0,46.8,15.795,1.755,5.85,23.4,0,0,0.435655367,0,0
20958,C,5,B,23.030825,54.05907167,E,A,A,D,B,B,1,0,25.389,10.53,0.351,0.468,14.04,0,0,0.289965683,0,0
20959,C,5,B,23.03201333,54.04795333,E,A,A,D,B,B,1,0,46.72044,22.49559,0.0936,0.14625,23.4,0,0,0.153895325,0,0
20960,C,34,A,22.91746704,54.21823608,E,B,C,D,B,B,2,0,46.8,14.625,6.435,4.68,15.21,0,4.095,0.168436809,0,0.362049342
20961,C,5,A,23.02993367,54.06230833,F,A,A,D,B,B,1,0,10.12752,5.20299,0.0585,0.18603,3.51,0,0,0.267624028,0,0
20962,C,5,B,23.01896833,54.10374167,E,B,B,D,B,B,1,0,37.36746,21.68829,0.0936,0.37557,15.21,0,0,0.443812641,0,0
20963,C,5,A,23.02356167,54.10489167,E,B,B,D,B,B,4,0,46.8,6.69357,0.0702,0.25623,37.44,0,0,0.344365779,0,0
20964,C,5,B,23.01985,54.10102833,E,A,B,D,B,B,1,0,5.4522,0.76635,0,0.00585,4.68,0,0,0.316238885,0,0
20965,B,31,B,24.08116,55.19897167,E,B,A,D,B,B,1,0,39.18213,0,0.3393,0.05616,12.87,0,0,0.116640503,0,0
20966,B,31,A,24.07025167,55.203425,E,B,A,D,B,B,4,0,39.18213,0,1.03428,0.08424,0,0,0,0,0,0
20967,B,31,B,24.06091,55.19995,E,B,G,D,B,B,2,0,39.18213,0,1.23903,0.6552,3.51,0,0,0.202431185,0,0
20968,B,7,B,24.14241667,55.04101667,E,B,D,D,B,A,0,0,22.8033,0,0.15912,0,0,0,0,0,0,0
20969,B,7,B,24.13943167,55.13241167,E,B,D,D,B,A,0,0,31.05414,0,0,0,0,0,0,0,0,0
20970,B,7,B,24.08866,55.09834333,E,B,D,D,B,A,0,1,32.76,0,0,4.64256,12.28032,0,0,0.357812533,0,0
20971,B,39,B,24.518425,55.172315,E,B,G,D,B,B,0,1,39.18213,30.76983,0.2223,0,8.19,0,0,0.361419872,0,0
20972,A,9,B,24.58396667,54.81478167,E,B,G,D,A,B,3,0,32.61726,24.50916,0.5031,2.925,4.68,0,0,0.238471975,0,0
20973,C,5,B,23.04682833,53.98929667,E,B,A,D,B,B,2,0,17.27505,2.22651,0.14274,0.2808,14.625,0,0,0.283201735,0,0
20974,C,43,A,23.63452333,53.599175,E,B,B,D,B,B,2,0,21.47184,1.00971,4.1535,2.67696,4.68,1.9305,0,0.05997727,0.127391392,0
20975,A,9,B,24.59336667,54.82047,E,B,G,D,A,B,1,0,32.618079,18.086679,0.4914,2.34,11.7,0,0,0.339674253,0,0
20976,C,33,B,23.08102333,53.57944667,E,B,D,D,B,B,0,1,3.51,0,0,0,3.51,0,0,0.182689156,0,0
20977,C,5,A,23.08465833,53.93997333,E,B,B,D,B,B,1,0,46.8,30.49605,1.1934,0.48555,5.265,0,0,0.284854945,0,0
20978,A,6,A,24.17157167,55.04252333,E,B,E,D,B,B,7,0,24.49161,0.0702,4.88475,2.34,5.85,0,10.53,0.237455635,0,0.178860922
20979,C,5,A,23.11494667,53.91687833,E,B,C,D,B,B,3,0,46.8,16.95915,0.26325,0.3276,28.08,0,0,0,0,0
20980,C,5,B,23.046675,53.98999833,E,B,A,D,B,B,1,0,2.35287,0,0.14274,0,2.21013,0,0,0,0,0
20981,C,5,B,23.086415,53.93960167,E,B,B,D,B,B,1,0,47.502,14.49981,0.07839,0.1638,32.76,0,0,0.307835161,0,0
20982,C,5,B,23.11698167,53.91612333,F,B,A,D,B,B,1,0,46.8,36.153,0.117,0,10.53,0,0,0.050096163,0,0
20983,A,9,B,24.44015,54.59950167,E,B,G,D,A,B,2,0,32.60907,15.67917,0.2808,1.17,15.4791,0,0,0.104031609,0,0
20984,A,6,B,24.17777833,55.04867667,E,B,F,D,B,B,2,0,26.92053,0.08775,0.0819,0.0468,9.36,0,0,0.190509917,0,0
20985,C,5,B,23.116335,53.91492167,E,B,B,D,B,B,1,0,46.8,17.33004,0.0468,0.17316,29.25,0,0,0.228460807,0,0
20986,A,9,A,24.682675,54.779815,E,B,A,D,A,B,2,0,27.18846,5.3937,0.98046,1.755,12.0393,0,1.755,0.196540357,0,0.264562087
20987,B,39,A,24.55587333,55.37347,E,B,D,D,B,B,3,0,39.18213,16.25949,7.5933,0.11934,14.04,0,0,0.289936579,0,0
20988,A,6,A,24.17706333,55.04823167,E,B,E,D,B,B,2,0,26.92053,0,0.17316,0.1053,9.36,0,0,0.295900962,0,0
20989,A,9,B,24.68324833,54.77699667,E,B,B,D,A,B,1,0,27.18846,8.7165,0.62946,3.51,14.3325,0,0,0.276202979,0,0
20990,C,5,B,23.08987667,53.938695,E,B,B,D,B,B,1,0,47.502,31.3677,0.05265,0.28665,15.795,0,0,0.153456614,0,0
20991,C,5,B,23.05291,54.00115167,E,B,A,D,B,B,5,0,46.8,3.32046,0.03159,0.15795,38.61,0,0,0.072914617,0,0
20992,C,5,B,23.11527833,53.91325833,E,B,A,D,B,B,1,0,46.8,28.63692,0.60372,0.00936,16.38,0,0,0.340648593,0,0
20993,A,9,A,24.68487667,54.77761667,E,B,B,D,A,B,1,0,27.18846,13.52637,0.86346,3.55563,8.5995,0,0.6435,0.11070552,0,0.079057412
20994,A,6,A,24.17161333,54.98318333,E,B,F,D,B,B,4,0,22.77405,0,0.234,0.117,0,0,0,0,0,0
20995,B,11,B,24.15407333,55.51059333,E,B,E,D,A,B,4,0,32.8887,0,0.14625,0.936,17.55,0,14.04,0.187112695,0,0.297564032
20996,A,6,A,24.17898,55.04721667,E,B,B,D,B,B,2,0,26.92053,0,0.26676,0.7839,5.85,0,0,0.221000795,0,0
20997,A,6,A,24.172595,54.98354667,E,B,G,D,B,B,1,0,32.51313,0,1.521,1.17,5.85,0,0,0.29405348,0,0
20998,C,5,B,23.11484167,53.91051833,E,B,A,D,B,B,2,0,27.03168,0.51714,0.0351,0.15444,26.325,0,0,0.179263021,0,0
20999,C,33,B,23.11246833,53.66379333,E,B,A,D,B,B,1,0,15.093,0.351,0.117,0,14.625,0,0,0.100884262,0,0
21000,A,9,B,24.68598667,54.776475,E,A,F,D,A,B,1,0,27.18846,9.29448,0.48438,3.51,6.8796,0,0,0.127729557,0,0
21001,B,11,B,24.13346167,55.50042333,E,A,G,D,A,B,2,0,41.418,0,0.0702,0,23.4,0,0,0.141443257,0,0
21002,C,33,B,23.10711833,53.65978,E,B,C,D,B,B,1,0,46.8,28.3491,0.0819,0.819,17.55,0,0,0.153742512,0,0
21003,A,6,B,24.17253167,54.977615,E,B,G,D,B,B,1,0,22.77405,0,0.117,1.755,7.02,0,0,0.280265222,0,0
21004,A,6,B,24.17776667,55.04641833,E,B,A,D,B,B,1,0,26.92053,0,0.07605,0.585,12.87,0,0,0.449048152,0,0
21005,C,43,A,23.63408333,53.59797333,F,B,A,D,B,B,1,0,21.47184,17.51022,2.691,1.26945,0,0,0,0,0,0
21006,C,5,B,23.08991167,53.94076667,E,B,C,D,B,B,1,0,43.641,9.54369,0.0468,0.12051,33.93,0,0,0.193551486,0,0
21007,C,43,A,23.63327333,53.59967333,F,B,A,D,B,B,1,0,21.47184,10.24686,2.5155,1.10331,7.02,0,0,0.140386575,0,0
21008,A,6,B,24.17282833,54.97801333,E,B,G,D,B,B,1,0,22.77054,0,0.234,2.34,9.36,0,0,0.083535265,0,0
21009,A,9,A,24.685575,54.77587667,E,B,A,D,A,B,1,0,27.18846,14.04,0.86346,3.51,7.16625,0,1.4625,0.169704439,0,0.214757432
21010,C,5,B,23.11572667,53.909785,E,B,A,D,B,B,1,0,27.03168,0,0.0936,0.02808,26.91,0,0,0.1917555,0,0
21011,C,43,B,23.63337,53.60085333,E,B,C,D,B,B,1,0,21.47184,4.32198,0.234,1.70469,15.21,0,0,0.253717954,0,0
21012,A,6,B,24.16966167,54.98330167,F,B,B,D,B,B,1,0,23.38596,0,0.234,0.117,15.21,0,0,0.335569478,0,0
